x,y,z
33.83246604004589,14.633212423755367,a
80.384393203995,60.54396113404766,a
15.645234786212377,57.86382574033189,a
35.76339270341294,68.75920148489064,a
82.75478873504314,104.5246621689572,a
60.53773176712736,36.42841852425698,a
33.51567213682711,28.59934874384942,a
43.97232891706791,273.18170176748447,a
40.86644644991729,315.5178180340532,a
60.54907512574006,300.23848778999866,a
91.45301992428708,254.90969094819383,a
65.91987115908263,291.0579298938031,a
18.623854380277756,271.05137988095436,a
34.927838955635636,241.6383269524615,a
64.95077766117012,241.69771677379407,a
59.00825461324372,262.71957546725866,a
104.69929873549455,246.87660166356883,a
33.500362635845676,279.9420027358307,a
51.0624017272164,283.38010384531924,a
10.75484587281769,275.73422021408044,a
75.22635235079113,270.6562937018687,a
45.06763783672944,262.9259210854317,a
33.69223515658333,281.1159079730326,a
64.24933418231416,257.7197064697023,a
60.45584836163118,239.95739720654768,a
51.81839846425168,278.5304062089021,a
50.64886803859416,290.0682175418929,a
46.642117636208695,242.62064513609414,a
105.3059551383457,231.4193261994031,a
106.09202396963647,214.27850147015522,a
64.757574664162,253.6238465954507,a
64.29693225135107,213.900320161999,a
42.85054183256331,185.46090134196436,a
23.328940433144822,235.64931515901674,a
70.47031486449251,235.90371165077823,a
100.64156213248539,261.9368793580257,a
87.0537112281184,249.5483650557134,a
80.36599415584024,152.88388478053736,a
98.2099418141634,203.73907936947057,a
71.3090099474183,167.4607812772212,a
91.8816329353733,224.44394672259045,a
119.51358886688426,267.08612982104023,a
45.02714709668635,192.28530051735197,a
157.0416217505171,176.32093182453303,a
107.1683629177346,192.97275710772868,a
107.2687248167904,215.70478904813046,a
129.95503096297276,224.18988253236944,a
139.43416230753772,221.09973774437918,a
159.06918640812103,231.22657114975271,a
96.65796680858126,228.58830541968325,a
72.16742624003493,217.64982660630199,a
81.35462669046987,215.07282806244092,a
125.01532573888848,256.9931176175934,a
95.67563269644518,209.8152407593484,a
89.15823944249892,213.93934492578484,a
111.95089471676005,215.9356811593825,a
145.52651019344586,251.1941021974795,a
123.13846861069695,287.4869354831551,a
103.1033413552268,274.37034076958093,a
88.92949797330746,218.38754644414058,a
148.07366885712653,246.75215249552986,a
74.49926525368346,320.8242654620774,a
89.88391289849582,286.3367890883418,a
62.35039022101506,260.19135553328096,a
63.80080884137084,254.60896961757746,a
