x,y,z
90.39296142556526,427.823531208727,a
67.48635498890557,370.4646836763954,a
50.13453293613753,349.0065237948638,a
47.25621394200732,350.3266502167422,a
49.67049313092228,326.971424178064,a
66.98135652324734,334.58128545853765,a
73.69520887650414,397.76534442131594,a
38.14655552243063,394.72784114805023,a
97.26365270698003,291.25139381176683,a
66.04975972498112,334.1175730805871,a
83.70373494996979,338.09937447181625,a
125.58290726228489,292.82716346835946,a
61.93434321171269,326.049642777882,a
59.86066632683052,352.0736454951126,a
153.46405053608993,294.14240839128195,a
87.67169480479818,342.29983053621436,a
132.18918873258002,321.1751448837881,a
145.290748608474,341.230454114394,a
133.76573925769603,323.09034917118447,a
115.34789283048232,305.2182009540169,a
169.3922085375192,302.20318872516316,a
152.5206999277369,326.3953195135168,a
178.24066098164434,312.7976644421957,a
198.80080145175188,278.23132800949793,a
179.88217395553718,303.546212281751,a
179.89013614956815,309.0655441793958,a
180.02769238291236,307.29005944897506,a
196.0561008217015,302.19824131021835,a
150.46378253276316,331.22993592779255,a
170.96717375740815,354.08089852910257,a
240.78088886918198,370.39707702006655,a
196.44023421025858,363.92624264861524,a
217.97878476930404,382.5823669186554,a
234.1353414386366,357.2459412307163,a
198.4951360413839,368.19388940813445,a
242.3492982547314,373.6128955969225,a
232.03120059628804,351.48231043221824,a
204.06664724974962,387.91079202047996,a
251.8387100205591,400.6841248830199,a
261.0247024782729,422.54847441712246,a
265.5453410261096,378.96749208985096,a
287.42234984908595,354.49830437969274,a
56.541138856118366,320.6508219889928,a
147.79304983503044,344.2136367640994,a
155.10670398850053,350.18372153864664,a
187.6886160592752,335.8237960070496,a
200.4729464251503,325.39156194001737,a
167.5874269001623,354.0235246020505,a
198.05585643845293,329.0219714653426,a
152.62941885739815,371.3751924269055,a
193.77989257404585,383.45060339460224,a
188.715317619953,345.5661473298356,a
221.99429539250838,401.0886943756687,a
176.97184435725902,385.52429552593117,a
162.40397612869228,397.4944331890257,a
224.09883133129037,402.3649655103395,a
182.15976669832133,394.0609704289674,a
151.6045003678542,407.2072693117857,a
170.15583894387316,426.70160739240737,a
152.63550645038652,448.12265235575404,a
174.68548910608322,402.38008653558904,a
217.05792913158365,406.835245061454,a
146.90963954144115,469.53714850301975,a
127.24698461073972,437.5895572152905,a
180.85217659459073,439.4069766067532,a
140.79845599391993,477.9657432575399,a
139.12368093541312,426.02381909946223,a
169.71105607906114,405.95807275842384,a
82.95301791382286,403.37012860896823,a
101.45233375868895,410.6018626713355,a
115.90358367052833,474.6568524434573,a
139.27263939043067,391.91725969275353,a
67.4007717597598,456.32995320136774,a
158.2422225939095,402.74940782838803,a
109.51125716447021,422.8650689307914,a
72.01872823262588,436.3154661082929,a
165.11831205857607,430.52590836330774,a
81.202072177974,426.00479566330677,a
75.56919587944799,406.96353124044816,a
52.153028577366804,423.639953516169,a
115.61601328471795,461.3982648502422,a
75.91863222930223,423.3297816924663,a
130.78099388001053,400.941423019214,a
150.20833108366037,426.24429882737616,a
111.4467947846488,400.3977677700797,a
135.36066797045044,426.48900306853363,a
105.03550827201555,435.2127541635824,a
115.31276615423226,440.19050815863346,a
102.54720613983187,416.1927220051913,a
106.18715481344262,387.6505878191706,a
129.51454781140666,362.69407095061683,a
73.64944157504472,357.5799893176502,a
93.00087666899168,356.53166000830697,a
94.8188129806833,326.40990789597754,a
119.42510008191333,385.32776838807683,a
96.52097645970233,387.4477147642919,a
128.92941046534338,372.92518946098244,a
113.33837454206234,376.77424273290364,a
136.10485487365924,397.50466649376455,a
